lead_id,priority_tier,supplier_fit,lead_score,company_name,category,sub_category,area,contact_approach,phone,whatsapp,email,website,hardware_need,buying_trigger,expansion_signal,verification_status,address,source_type,source_url,size_hint,notes
L0026,A,Skip - very large,88,Dharmanandan Diamonds Pvt Ltd,Diamond & Bourse,Polished diamond manufacturer,Katargam (Gotalawadi),Owner/Partner or Admin/Security head,,,,https://www.ddpl.com/,Diamond-planning workstations; multi-floor managed networking; heavy CCTV + biometric access; servers + NAS; AMC,Existing security system + AC infra signals upgrade cycle; De Beers sightholder,Large workforce (6500+); 500k sq ft facility,Existence-verified (contact pending),"Behind Patel Faliya, Gotalawadi, Katargam, Surat 395004",IndiaMART profile + search snippet,https://www.indiamart.com/dharmanandan-diamond/aboutus.html,"Est. 1985; 500,000 sq ft BSI-certified factory; 6500+ artisans; in-house medical/dining/AC/security","Already runs centrally AC, security system - strong CCTV/AMC fit"
L0027,A,Skip - very large,88,Veer Narmad South Gujarat University (VNSGU),Education,University (State),Udhna-Magdalla Road,Registrar / IT/Computer Centre Head,0261-2227141,,info@vnsgu.ac.in,vnsgu.ac.in,computer-lab desktops (bulk); exam/data-center servers & storage; campus networking + Wi-Fi; CCTV; AMC,"Digital exam systems, e-governance, NAAC; affiliating university",Large affiliating university; ongoing digitization,Contact found,"Post Box No. 49, Udhna Magdalla Road, Surat-395007",Govt directory + official site,https://surat.nic.in/public-utility/veer-narmad-south-gujarat-university/,Very large (280+ affiliated colleges),Major state university; central exam & admin IT load; alt source: https://vnsgu.ac.in/contact_us.php
L0028,A,Skip - very large,88,Jainam Broking Limited,Finance & Professional,Stock / commodity broker,Piplod,Admin,0261 6725555,,,https://www.jainam.in/,multi-seat desktops/workstations + dealing terminals; data server + NAS backup; networking/firewall; CCTV + access control; UPS; AMC,Multiple Surat offices; trading-tech & data security,"Offices at Athwalines, LP Savani + HQ",Contact found,"Jainam House, Plot No.42, Near Shardayatan School, Piplod, Surat-395007",Company site,https://www.jainam.in/contact-us/,Large broker; multiple Surat offices; SEBI INZ000091934,customer.care@jainam.in; equity/commodity/derivatives
L0029,A,Skip - large enterprise,88,Adani Wilmar Ltd (AWL Agri Business) Hazira,GIDC Manufacturing,Food / Edible Oil Processing,Hazira,IT Manager / Plant Head / Purchase,,,,https://www.adaniwilmar.com/,ERP/SAP servers + storage; automated-plant desktops; industrial/rugged PCs; large-area CCTV; networking + Wi-Fi; biometric access; AMC,New automated plant (2019); 14-km pipeline to sea port under construction; capacity scale-up,Fully-automated high-tech plant; logistics expansion,Existence-verified (contact pending),"Hazira, Surat (near Hazira sea port), Gujarat",Company website,https://www.adaniwilmar.com/en/factory-locator,Very Large (2500 t/day refining; one of largest),Fortune brand; JV Adani + Wilmar; process engineer hiring 2026
L0030,A,Skip - govt/tender,88,ONGC Hazira Plant,Government & PSU,PSU / Oil & Gas,"Hazira, Surat",IT/IS Dept (Hazira) / Materials & Contracts (GeM/e-procurement),0261-2875600,,,https://ongcindia.com/,bulk office desktops; plant CCTV + access control; data-center servers/storage; networking + Wi-Fi; AMC (GeM/tender),Plant IT modernization; OT/IT security; surveillance upgrade,Capacity + facility expansion at Hazira,Existence-verified (contact pending),"Hazira Plant, PO ONGC Nagar, Surat-394518",Official PSU site,https://ongcindia.com/web/eng/about-ongc/contact-us/our-offices/,Very large gas processing complex,Maharatna PSU; buys via GeM/e-procurement; fax 0261-2875575
L0031,A,Skip - national chain,88,Malabar Gold & Diamonds - Ghod Dod Road,Jewellery,Branded retailer/showroom,Ghod Dod Road (Athwa),Store/Admin manager,0261 2992916,,,https://www.malabargoldanddiamonds.com/,high-density CCTV + access control (critical); POS/billing PCs; networking + Wi-Fi; server/NAS; AMC,Recent Surat store launch promotions,New showroom launch,Contact found,"Picnic Retail, Opp. Amarakunj Society, Rangila Park Char Rasta, Ghod Dod Road, Surat 395007",directory,https://o2osell.com/shops/malabar-gold-and-surat,Large (national/intl brand showroom),Phones 2994916/2990916 also reported
L0032,A,Skip - national chain,88,Tanishq (Titan) - Ghod Dod Road,Jewellery,Branded retailer/showroom,Ghod Dod Road,Store/Admin manager,0261-2650069,,,https://stores.tanishq.co.in/,high-density CCTV + access control (critical); POS/billing PCs; networking + Wi-Fi; server/NAS; AMC,"Multiple Surat stores (Ghod Dod, Adajan); festive scaling",Adajan store also operating,Contact found,"F.P. No. 42/A & B-Topp, Ghod Dod Rd, opp. St. Xaviers School, Surat 395001",directory,https://www.helloindia.co/Surat/Tanishq-Showroom/Ghod-Dod-Road/ContactUs,Large (national brand showroom),Mobile 9978812578 also listed
L0033,A,Skip - very large,88,Bhanderi Lab Grown Diamonds LLP,Lab-Grown Diamond,CVD diamond manufacturer / exporter,Katargam,Owner/Director or IT Manager,+91 85003 85003,https://wa.me/918500385003,info@blgdlab.com,https://blgdlab.com/,GPU workstations for planning/grading; reactor-control PCs; rack server + NAS; multi-camera CCTV + access control; managed switches + Wi-Fi; AMC,Type IIA CVD specialist; GIA/IGI/GCAL/HRD certified; uses CVD reactors; multiple facilities,Multiple facilities (Katargam + Khodiyar Nagar); active CVD reactor operations,Contact found,4th Floor BLGD Corporation Akshar Building Opp Mehta Petrol Pump Katargam Surat 395004,Company website,https://blgdlab.com/contact-bhanderi-diamonds,"Large - leading manufacturer/exporter, global presence",Second Katargam/Khodiyar Nagar address also verified
L0034,A,Skip - national chain,88,Reliance SMART / SMART Bazaar - Surat,Retail & Supermarket,Supermarket/Hypermarket chain,"Multiple (Vesu, Piplod, Udhna, Katargam, Magdalla, Anand Mahal Rd, Varachha)",Purchase / Regional IT,18008910001,,,https://stores.reliancesmartbazaar.com,bulk POS/billing desktops; loss-prevention CCTV; per-store networking + Wi-Fi; digital signage; back-office server; AMC,Multiple format stores operating across Surat,Reliance Retail aggressively expanding SMART/SMART Bazaar formats,Contact found,Anand Mahal Building Beside Gail Tower Anand Mahal Main Rd; Kamdhenu Mall Dumas Rd Piplod,Official store locator,https://stores.reliancesmartbazaar.com/location/gujarat/surat,8+ hypermarkets in Surat; Reliance Retail,Toll-free line listed; hardware procurement centralized but multi-store presence strong
L0035,A,SME - direct,88,Raghuvir Scarlet Textile Market,Textile Trade & Design,Textile market complex,Ring Road area,Raghuvir Developers project/sales office,,,,https://www.raghuvirdevelopers.com/,complex-wide networking + Wi-Fi; dense CCTV; bulk billing/POS desktops; server/NAS; AMC,NEW market launch - greenfield fit-out opportunity,"Newly launched, sets new benchmark (Loktej news)",Existence-verified (contact pending),"Raghuvir Scarlet Textile Market, Surat",News article,https://english.loktej.com/article/19352/raghuvir-scarlet-textile-market-sets-a-new-benchmark-in-surat%E2%80%99s,New large market complex,Hot greenfield lead - new build needs full IT/CCTV/network from scratch
L0036,A,Skip - very large,87,Laxmi Diamond Pvt Ltd,Diamond & Bourse,Polished diamond manufacturer,Katargam,Owner/Partner or IT/Security head,,,,https://laxmidiamond.com/,Diamond-planning workstations; multi-site managed networking; large CCTV + biometric access; servers + NAS; AMC,Continued innovation & expansion (Surat/Amreli/Botswana),Very large workforce (7000+); multi-country footprint,Existence-verified (contact pending),"Bhagu Bhula Compound, Nr Gajera Circle, Katargam Fulpada Road, Katargam, Surat 395004",JustDial + search snippet,https://www.justdial.com/Surat/Laxmi-Diamond-Pvt-Ltd-Near-Gajera-Circle-CNG-Gas-Station-Katargam/0261PX261-X261-140228143117-M4M9_BZDET,"Est. 1972; 7000+ employees; units in Surat, Amreli, Botswana",Manufacturing head office Katargam; GIA-certified diamonds
L0037,A,Skip - very large,86,Nanavati Mahindra (Nanavati Automotive),Automobile Dealership,Car dealer (Mahindra),Adajan,Dealer Principal / IT Head,,,,https://www.nanavatimahindra.com/,DMS/billing desktops; showroom + workshop + lot CCTV; networking + guest Wi-Fi; digital signage; server/NAS; AMC,Multiple Mahindra outlets + new launches display,Largest Gujarat group for passenger+commercial; multi-branch,Existence-verified (contact pending),"Survey No. 84/1, 84/2 Paiki, Bhagat Party Plot, Opp Hari Om Petrol Pump, L P Savani Road, Adajan, Surat 395005",Brand dealer site,https://www.nanavatimahindra.com/outlet/mahindra-showroom-in-surat.html,Leading Mahindra dealer group; Adajan/Punakumbhariya/Kim/Bardoli,"Part of Nanavati Group (also Toyota, MG, Tata CV)"
L0038,A,Skip - very large,86,Lakhi Group (Dilipkumar V. Lakhi),Diamond & Bourse,Diamond cutting & polishing manufacturer,Surat,Owner/Partner (Lakhi family) or IT/Security head,,,,https://www.jewelxy.com/803221970923286,Massive diamond-planning workstation fleet; campus managed networking; large CCTV + biometric access; servers + NAS; AMC,World's largest polishing factory in Surat,Very large workforce; multi-facility,Existence-verified (contact pending),"Surat (one of world's largest polishing factories); HQ Bandra East, Mumbai",Jewelxy profile + search snippet,https://www.jewelxy.com/803221970923286,"Since 1944; 3 facilities; 10,000+ skilled cutters; 6000+ in Surat",Among world's largest diamond polishing operations
